OID_,CATEGORY,CAT_1,CAT_2,CAT_3,CAT_5,CAT_8
0,CAT_1,0,0,0,0,0
1,CAT_2,0,3,1,0,4
2,CAT_3,0,0,26,0,5
3,CAT_5,0,0,0,0,1
4,CAT_8,0,0,2,0,180
